book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.0,0,0.006688963,0,0,0,0,0,0,0.74,0.11267224075,Low
0.0,0,0.010033445,0,1,0,0,0,1,0.363,0.15695836125,Low
0.2,0,0.010033445,0,1,0,0,0,1,0.988,0.30070836125,Medium
0.2,0,0.003344482,0,0,0,0,0,0,0.7090000000000001,0.15718612050000003,Low
0.2,0,0.003344482,0,0,0,0,0,0,0.746,0.1627361205,Low
0.6,0,0.066889632,0,0,0,0,0,1,0.132,0.23652240800000002,Low
0.2,1,0.010033445,1,0,0,0,0,0,0.991,0.40115836125000004,Medium
0.2,1,0.013377926,1,0,0,0,0,1,0.716,0.41074448150000004,Medium
0.2,1,0.016722408,1,0,0,0,0,1,0.982,0.451480602,Medium
0.4,0,0.127090301,0,0,0,0,0,1,0.923,0.32022257525,Medium
0.4,0,0.016722408,0,1,0,0,0,0,0.998,0.303880602,Medium
0.0,1,0.0,1,1,0,0,0,1,0.926,0.43889999999999996,Medium
0.0,1,0.016722408,1,0,0,0,0,0,0.783,0.32163060200000004,Medium
0.2,0,0.013377926,0,0,0,0,0,1,0.28300000000000003,0.14579448150000002,Low
0.2,0,0.006688963,0,0,0,0,0,1,0.712,0.20847224074999998,Low
0.0,1,0.006688963,1,0,0,0,0,1,0.843,0.37812224074999995,Medium
0.2,0,0.023411371,0,0,0,0,0,0,0.7170000000000001,0.16340284275,Low
0.0,1,0.096989967,1,1,0,0,0,1,0.0010000000000000009,0.32439749175,Medium
0.0,1,0.143812709,1,0,0,0,0,1,0.0040000000000000036,0.28655317725,Medium
0.0,1,0.073578595,1,1,0,0,0,1,0.0,0.31839464875,Medium
0.2,1,0.277591973,1,1,0,0,0,1,0.0020000000000000018,0.41969799325,Medium
1.0,1,0.244147157,1,0,0,0,0,1,0.763,0.67548678925,High
0.2,0,0.016722408,0,0,0,0,0,1,0.99,0.252680602,Medium
0.0,1,0.143812709,1,1,0,0,0,1,0.242,0.37225317724999996,Medium
0.2,0,0.050167224,0,0,0,0,0,1,0.5589999999999999,0.196391806,Low
0.2,1,0.016722408,1,0,0,0,0,1,0.979,0.45103060199999995,Medium
